Utah,17.67,4.38,25.6,95.62,70.02,28.36,9.79
Alaska,15.45,9.71,31.02,90.29,59.27,21.51,6.83
Texas,14.77,5.76,34.13,94.24,60.11,19.87,5.56
District of Columbia,14.63,36.32,44.21,63.68,19.47,3.73,0.88
North Dakota,14.4,5.18,29.08,94.82,65.73,27.61,10.3
South Dakota,14.4,5.33,28.81,94.67,65.86,28.96,10.55
Nebraska,14.07,5.67,30.06,94.33,64.27,25.05,8.47
Idaho,14.05,4.28,28.03,95.72,67.69,28.32,9.47
Oklahoma,13.76,5.69,33.16,94.31,61.15,21.93,6.69
Louisiana,13.7,8.62,37.23,91.38,54.15,16.54,4.24
Kansas,13.63,5.44,30.55,94.56,64.01,24.77,8.22
Hawaii,13.31,8.52,34.13,91.48,57.35,21.23,7.87
Georgia,13.21,6.8,33.74,93.2,59.46,21.07,6.31
Mississippi,13.14,6.89,33.85,93.11,59.26,22.35,6.84
Wyoming,13.08,3.78,26.6,96.22,69.63,31.91,11.86
California,13.04,7.62,31.85,92.38,60.53,23.23,7.89
Arkansas,13.03,6.48,34.08,93.52,59.44,20.62,5.82
Arizona,12.99,6.71,37.46,93.29,55.83,17.71,5.04
Minnesota,12.79,7.0,30.15,93.0,62.85,22.28,6.79
Nevada,12.77,7.81,36.6,92.19,55.59,18.45,5.55
Indiana,12.77,6.75,32.72,93.25,60.53,21.88,6.72
New Mexico,12.73,5.74,33.66,94.26,60.6,23.17,7.45
Kentucky,12.71,7.72,33.34,92.28,58.94,21.05,6.29
Iowa,12.64,5.77,29.94,94.23,64.29,24.97,8.18
Washington,12.59,6.85,30.64,93.15,62.52,24.5,8.18
Missouri,12.52,7.2,33.37,92.8,59.43,21.16,6.34
Colorado,12.51,5.51,30.88,94.49,63.61,23.55,7.31
Virginia,12.5,6.33,30.58,93.67,63.09,24.99,8.12
Tennessee,12.42,6.23,32.72,93.77,61.05,22.91,7.08
Illinois,12.41,10.84,35.02,89.16,54.15,17.41,4.98
Maryland,12.4,9.37,32.75,90.63,57.88,21.2,6.75
Alabama,12.33,6.42,33.02,93.58,60.56,23.51,7.44
North Carolina,12.32,6.35,32.62,93.65,61.03,22.6,6.88
New York,12.19,29.21,32.84,70.79,37.95,11.69,3.39
South Carolina,12.09,6.86,33.72,93.14,59.42,20.92,6.16
Montana,12.04,5.19,28.41,94.81,66.4,29.12,10.35
Ohio,12.03,8.34,33.75,91.66,57.91,20.23,6.13
Delaware,12.01,6.44,33.92,93.56,59.64,19.73,5.78
New Jersey,11.76,11.64,34.62,88.36,53.74,17.55,5.3
Wisconsin,11.75,7.02,32.19,92.98,60.79,20.54,5.99
Oregon,11.49,7.78,32.38,92.22,59.83,21.88,6.84
Michigan,11.49,7.88,34.76,92.12,57.36,18.76,5.55
Florida,11.14,6.89,41.18,93.11,51.93,13.95,3.43
Pennsylvania,11.12,11.37,34.22,88.63,54.41,18.0,5.22
West Virginia,10.95,8.78,35.51,91.22,55.71,18.66,5.14
Massachusetts,10.82,12.51,36.04,87.49,51.46,15.07,4.23
Rhode Island,10.39,9.69,36.92,90.31,53.39,16.81,4.82
Connecticut,10.22,9.01,32.91,90.99,58.08,20.34,6.03
Maine,9.61,7.39,34.26,92.61,58.35,18.61,5.21
Vermont,9.56,6.83,33.88,93.17,59.3,18.96,5.18
New Hampshire,9.47,5.19,30.57,94.81,64.25,22.2,6.93
